code,word,language,word_type,text_color,background_color,font_size,font_family,font_style,font_path,noise_type1,noise_type2,noise_type3,angle,clean_path,noisy_path,binary_mask_path,indicocr_clean,indicocr_noisy,indicocr_acc_clean,indicocr_acc_noisy,output_path,indicocr_output,indicocr_acc_outpur
883,problem,German,normal,chocolate,paleturquoise,93,DM_Serif_Text,DMSerifText-Italic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/DM_Serif_Text/DMSerifText-Italic.ttf,horizontal tear,resolution scaling,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/883.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/883.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/883.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/883.png,,
884,bleiben,German,normal,midnightblue,palegoldenrod,75,DM_Serif_Text,DMSerifText-Italic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/DM_Serif_Text/DMSerifText-Italic.ttf,scribble,wave distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/884.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/884.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/884.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/884.png,,
885,besten,German,normal,lightcyan,darkslategray,71,Pinyon_Script,PinyonScript-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Pinyon_Script/PinyonScript-Regular.ttf,scanner streaks,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/885.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/885.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/885.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/885.png,,
886,würden,German,normal,mistyrose,darkseagreen,65,Roboto,Roboto,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Roboto/Roboto_SemiCondensed-SemiBold.ttf,stroke breaks,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/886.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/886.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/886.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/886.png,,
887,unternehmen,German,normal,dimgray,peachpuff,87,Lexend_Giga,LexendGiga-SemiBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Lexend_Giga/LexendGiga-SemiBold.ttf,angled line,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/887.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/887.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/887.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/887.png,,
888,stellen,German,normal,peachpuff,brown,111,Pinyon_Script,PinyonScript-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Pinyon_Script/PinyonScript-Regular.ttf,angled line,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/888.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/888.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/888.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/888.png,,
889,online,German,normal,darkblue,gainsboro,55,Quintessential,Quintessential-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Quintessential/Quintessential-Regular.ttf,staple holes,,scan line artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/889.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/889.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/889.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/889.png,,
890,musste,German,normal,beige,forestgreen,85,DynaPuff,DynaPuff,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/DynaPuff/DynaPuff_SemiCondensed-SemiBold.ttf,random_erasure,color space mismatch,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/890.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/890.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/890.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/890.png,,
891,leider,German,normal,purple,silver,52,Lexend_Giga,LexendGiga-Thin,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Lexend_Giga/LexendGiga-Thin.ttf,double scan,perspective distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/891.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/891.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/891.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/891.png,,
892,ganzen,German,normal,peachpuff,dimgray,59,Quintessential,Quintessential-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Quintessential/Quintessential-Regular.ttf,double scan,watermarks,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/892.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/892.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/892.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/892.png,,
893,findet,German,normal,gainsboro,indigo,108,Nunito_Sans,NunitoSans-VariableFont,"/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Nunito_Sans/NunitoSans-VariableFont_YTLC,opsz,wdth,wght.ttf",horizontal tear,paper curl,Gaussian noise,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/893.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/893.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/893.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/893.png,,
894,ausserdem,German,normal,teal,honeydew,105,Margarine,Margarine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Margarine/Margarine-Regular.ttf,staple holes,,character merging,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/894.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/894.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/894.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/894.png,,
895,polizei,German,normal,skyblue,maroon,64,Tangerine,Tangerine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Tangerine/Tangerine-Regular.ttf,random scratches,,Gaussian noise,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/895.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/895.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/895.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/895.png,,
896,minuten,German,normal,lightcyan,darkcyan,116,Margarine,Margarine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Margarine/Margarine-Regular.ttf,vertical tear,,banding,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/896.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/896.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/896.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/896.png,,
897,glaube,German,normal,powderblue,brown,57,Roboto,Roboto-VariableFont,"/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Roboto/Roboto-VariableFont_wdth,wght.ttf",double scan,perspective distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/897.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/897.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/897.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/897.png,,
898,gewesen,German,normal,seashell,darkgreen,87,Roboto,Roboto,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Roboto/Roboto_Condensed-BlackItalic.ttf,printer toner gaps,watermarks,paper texture interference,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/898.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/898.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/898.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/898.png,,
899,deshalb,German,normal,darkseagreen,peachpuff,65,Markazi_Text,MarkaziText-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Markazi_Text/MarkaziText-Bold.ttf,staple holes,,JPEG compression,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/899.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/899.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/899.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/899.png,,
900,möglich,German,normal,darkred,seashell,61,Shadows_Into_Light,ShadowsIntoLight-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Shadows_Into_Light/ShadowsIntoLight-Regular.ttf,random scratches,resolution scaling,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/900.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/900.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/900.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/900.png,,
901,eigenen,German,normal,darkred,skyblue,89,Margarine,Margarine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Margarine/Margarine-Regular.ttf,angled line,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/901.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/901.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/901.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/901.png,,
902,bleibt,German,normal,chocolate,mistyrose,116,Markazi_Text,MarkaziText-VariableFont,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Markazi_Text/MarkaziText-VariableFont_wght.ttf,stroke breaks,perspective distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/902.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/902.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/902.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/902.png,,
903,arbeiten,German,normal,olive,lightgreen,92,Nunito_Sans,NunitoSans-VariableFont,"/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Nunito_Sans/NunitoSans-VariableFont_YTLC,opsz,wdth,wght.ttf",random_erasure,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/903.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/903.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/903.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/903.png,,
904,sollten,German,normal,peachpuff,teal,117,Markazi_Text,MarkaziText-VariableFont,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Markazi_Text/MarkaziText-VariableFont_wght.ttf,random_erasure,,glare,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/904.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/904.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/904.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/904.png,,
905,familie,German,normal,darkslategray,lightyellow,43,DM_Serif_Text,DMSerifText-Italic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/DM_Serif_Text/DMSerifText-Italic.ttf,stroke breaks,,JPEG compression,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/905.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/905.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/905.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/905.png,,
906,weniger,German,normal,olive,honeydew,116,Lexend_Giga,LexendGiga-ExtraBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Lexend_Giga/LexendGiga-ExtraBold.ttf,horizontal tear,text ghosting,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/906.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/906.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/906.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/906.png,,
907,spielen,German,normal,darkslategray,lightyellow,44,Quintessential,Quintessential-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Quintessential/Quintessential-Regular.ttf,random_erasure,resolution scaling,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/907.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/907.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/907.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/907.png,,
908,kleine,German,normal,paleturquoise,darkseagreen,113,Margarine,Margarine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Margarine/Margarine-Regular.ttf,angled line,,blur,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/908.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/908.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/908.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/908.png,,
909,gesehen,German,normal,darkred,peachpuff,103,IBM_Plex_Serif,IBMPlexSerif-ThinItalic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/IBM_Plex_Serif/IBMPlexSerif-ThinItalic.ttf,vertical tear,paper curl,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/909.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/909.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/909.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/909.png,,
910,bekommen,German,normal,palegoldenrod,darkcyan,92,Pinyon_Script,PinyonScript-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Pinyon_Script/PinyonScript-Regular.ttf,scribble,,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/910.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/910.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/910.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/910.png,,
911,morgen,German,normal,white,darkblue,118,Alumni_Sans_Pinstripe,AlumniSansPinstripe-Italic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Alumni_Sans_Pinstripe/AlumniSansPinstripe-Italic.ttf,scribble,,scan line artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/911.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/911.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/911.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/911.png,,
912,meinem,German,normal,paleturquoise,darkred,42,Quintessential,Quintessential-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Quintessential/Quintessential-Regular.ttf,partial occlusion,paper curl,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/912.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/912.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/912.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/912.png,,
913,gesagt,German,normal,brown,beige,86,Tangerine,Tangerine-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Tangerine/Tangerine-Bold.ttf,random_erasure,,scan line artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/913.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/913.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/913.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/913.png,,
914,darüber,German,normal,midnightblue,powderblue,96,Tangerine,Tangerine-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Tangerine/Tangerine-Bold.ttf,partial occlusion,,uneven illumination,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/914.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/914.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/914.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/914.png,,
915,nehmen,German,normal,forestgreen,gainsboro,94,Pinyon_Script,PinyonScript-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Pinyon_Script/PinyonScript-Regular.ttf,horizontal tear,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/915.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/915.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/915.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/915.png,,
916,geschichte,German,normal,beige,brown,98,Markazi_Text,MarkaziText-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Markazi_Text/MarkaziText-Bold.ttf,water damage,,ambient noise,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/916.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/916.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/916.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/916.png,,
917,besonders,German,normal,black,lavender,48,Tangerine,Tangerine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Tangerine/Tangerine-Regular.ttf,vertical tear,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/917.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/917.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/917.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/917.png,,
918,gehört,German,normal,lavender,darkcyan,100,Nunito_Sans,NunitoSans-Italic-VariableFont,"/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Nunito_Sans/NunitoSans-Italic-VariableFont_YTLC,opsz,wdth,wght.ttf",random_erasure,,aliasing,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/918.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/918.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/918.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/918.png,,
919,fragen,German,normal,mintcream,purple,49,Lexend_Giga,LexendGiga-VariableFont,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Lexend_Giga/LexendGiga-VariableFont_wght.ttf,random scratches,,JPEG compression,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/919.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/919.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/919.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/919.png,,
920,heisst,German,normal,darkcyan,skyblue,101,Lexend_Giga,LexendGiga-Black,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Lexend_Giga/LexendGiga-Black.ttf,staple holes,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/920.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/920.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/920.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/920.png,,
921,weitere,German,normal,indigo,lightgreen,103,Tangerine,Tangerine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Tangerine/Tangerine-Regular.ttf,printer toner gaps,perspective distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/921.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/921.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/921.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/921.png,,
922,möchte,German,normal,lightyellow,slategray,90,DynaPuff,DynaPuff,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/DynaPuff/DynaPuff_SemiCondensed-Medium.ttf,double scan,,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/922.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/922.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/922.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/922.png,,
923,wollte,German,normal,darkslategray,gainsboro,66,Markazi_Text,MarkaziText-SemiBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Markazi_Text/MarkaziText-SemiBold.ttf,random scratches,,banding,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/923.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/923.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/923.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/923.png,,
924,stehen,German,normal,aliceblue,firebrick,70,Alumni_Sans_Pinstripe,AlumniSansPinstripe-Italic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Alumni_Sans_Pinstripe/AlumniSansPinstripe-Italic.ttf,vertical tear,color space mismatch,Gaussian noise,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/924.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/924.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/924.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/924.png,,
925,später,German,normal,darkgreen,mintcream,43,Margarine,Margarine-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Margarine/Margarine-Regular.ttf,random scratches,color space mismatch,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/925.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/925.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/925.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/925.png,,
926,jemand,German,normal,gray,aliceblue,83,Roboto,Roboto-ExtraLightItalic,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Roboto/Roboto-ExtraLightItalic.ttf,water damage,,aliasing,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/926.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/926.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/926.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/926.png,,
927,sollen,German,normal,dimgray,aliceblue,100,Roboto,Roboto,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/German/Roboto/Roboto_Condensed-BoldItalic.ttf,random_erasure,perspective distortion,salt and pepper,0,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/clean/927.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/noisy/927.png,/DATA1/ocrteam/word_restoration/reconstruction/test/German_test_sample_dataset/bitmask/927.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/927.png,,
